"To succeed, one must be creative and persistent.",John H. Johnson,"Creative, Succeed, Must ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manners matter, asserts the professor. What provokes rebellion, he asserts, is not as often a theory out allowing for arbitrary power but be excessive, brusque use of it by a particular individual.","Robert J. Allison, Before 1776: Life in the American Colonies","graciousness, habits, influence, personality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You are a Lightwood,"" Cecily said. ""You stayed because you were loyal to your family name. It is not cowardice.""""Wasn't it? Is loyalty still a commendable quality when it is misdirected?""Cecily opened her mouth, then closed it again. Gabriel was looking for her, his eyes shining in the moonlight. He seemed genuinely desperate to hear her answer. She wondered if he had anyone else to talk to. She could see how it might be terrifying to take one's moral qualms to Gideon; he seemed so staunch, as if he never questioned himself in his life and would not understand those who did.""I think,"" she said, choosing her words with care, ""that any good impulse can be twisted into something evil. Look at the Magister. He does what he does because he hates the Shadowhunters, out of loyalty to his parents, who cared for him, and who were killed. It is not beyond the realm of understanding. And yet nothing excuses the result. I think when we make choices-for each choice is individual of the choices we have made before-we must examine not only our reasons for making them but what result they will have, and whether good people will be hurt by our decisions.","Cassandra Clare, Clockwork Princess","cecily-herondale, gabriel-lightwood, loyalty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inherent rights are from God, and the tragedies of the world originate in their attempted denial.",Warren G. Harding,"god, rights, tragedies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A mind possessed by unmade books.,Michael Faudet,inspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slang is language which takes off its coat  spits on its hands - and goes to work.,Carl Sandburg,"words, language",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our stories are what we have,” Our Good Mother says. “Our stories preserve us. we give them to one another. Our stories have value. Do you understand?","Julianna Baggott, Pure",stories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is love’s nature to be expressed.,"Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","expression, love, nature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellence never seeks excuses.,Sravani Saha Nakhro,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You don't deserve the anger you're turning on yourself. Your abuser's the one who does.,"Cheryl Rainfield, Scars","cheryl-rainfield, cherylrainfield, cutting, lgbt, lgbtq, scars, selfharm, selfmutilation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Elven people believe that preservation of the land and all that lives and grows upon it, plant and animal alike, is a moral responsibility. They have always held this belief foremost in their conduct as creatures of the earth. In the old world, they devoted the whole of their lives to caring for the woodlands and forests in which they lived, cultivating its various forms of vegetation, sheltering the animals that it harbored. Of course, they had little else to concern them in those days, for they were an isolated and reclusive people. All that has changed now, but they still maintain a belief in their moral responsibility for their world. Every Elf is expected to spend a portion of his life giving back to the land something of what he has taken out of it. By that I mean every Elf is expected to devote a part of his life to working with the land–to repairing damage it may have suffered through misuse or neglect, to caring for its animals and other wildlife, to caring for its trees and smaller plants where the need to do so is found.","Terry Brooks, The Elfstones of Shannara","elves, nature, shannara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The theory of emptiness…is the deep recognition that there is a fundamental disparity between the way we perceive the world, including our own existence in it, and the way things actually are.","Dalai Lama XIV, The Universe in a Single Atom: The Convergence of Science and Spirituality","emptiness, mind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I believe the phrase you’re looking for is ‘too much money and not enough things to spend it on.,"Elle Lothlorien, Alice in Wonderland",contemporary-romance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothing to me feels as good as laughing incredibly hard.,Steve Carell,"happy, laugh, life",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the cage is the lion. She paces with her memories. Her body is a record of her past. As she moves back and forth, one may see it all: the lean frame, the muscular legs, the paw enclosing long sharp claws, the astonishing speed of her response. She was born in this garden. She has never in her life stretched those legs. Never darted farther than twenty yards at a time. Only once did she use her claws. Only once did she feel them sink into flesh. And it was her keeper's flesh. Her keeper whom she loves, who feeds her, who would never dream of harming her, who protects her. Who in his mercy forgave her mad attack, saying this was in her nature, to be cruel at a whim, to try to kill what she loves. He had come into her cage as he usually did early in the morning to change her water, always at the same time of day, in the same manner, speaking softly to her, careful to make no sudden movement, keeping his distance, when suddenly she sank down, deep down into herself, the way wild animals do before they spring, and then she had risen on all her strong legs, and swiped him in one long, powerful, graceful movement across the arm. How lucky for her he survived the blow. The keeper and his friends shot her with a gun to make her sleep. Through her half-open lids she knew they made movements around her. They fed her with tubes. They observed her. They wrote comments in notebooks. And finally they rendered a judgment. She was normal. She was a normal wild beast, whose power is dangerous, whose anger can kill, they had said. Be more careful of her, they advised. Allow her less excitement. Perhaps let her exercise more. She understood none of this. She understood only the look of fear in her keeper's eyes. And now she paces. Paces as if she were angry, as if she were on the edge of frenzy. The spectators imagine she is going through the movements of the hunt, or that she is readying her body for survival. But she knows no life outside the garden. She has no notion of anger over what she could have been, or might be. No idea of rebellion.It is only her body that knows of these things, moving her, daily, hourly, back and forth, back and forth, before the bars of her cage.","Susan Griffin, Woman and Nature: The Roaring Inside Her","cages, ecofeminism, feminism, lions, rebellion, wildness, women",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to the fourth edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV), the diagnosis of Dissociative Identity Disorder had been referred to as Multiple Personality Disorder. The renaming of this diagnosis has caused quite a bit of confusion among professionals and those who live with DID. Because dissociation describes the process by which DID begins to develop, rather than the actual outcome of this process (the formation of various personalities), this new term may be a bit un","Karen Marshall, Amongst Ourselves: A Self-Help Guide to Living with Dissociative Identity Disorder","alter-personalities, alters, dissociation, dissociative-disorder, dissociative-identities, dissociative-identity-disorder, dsm, mental-health, mental-illness, multiple-personalities, multiple-personality-disorder, multiplicity, psychiatry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John Quincy Adams' depression was treated by his aunt with some reliable remedies, first sleep and then compassion. She said, "" He was half cared for by having someone to care for him.","Paul C. Nagel, John Quincy Adams: A Public Life, a Private Life","anxiety, compassion, emotion, ministry, positive-regard, self-care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It is no different from the way it is on Earth, if one is paying attention. If only people would pay closer attention, to everything. Then they would know what mattered without stumbling blindly (albeit at times willingly) in the wrong direction. Man may be born to trouble, be he doesn't have to stay there.","Lorna Jane Cook, Outside Wonderland","attention, blind, matter, trouble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It is not fitting, when one is in God's service, to have a gloomy face or a chilling look.",Francis of Assisi,"Service, Face, Look ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The ski club was a frugal and intergenerational group. It gave dime-store trophies for speed and agility within categories of gender, age, and experience, and so eventually everyone got a trophy.","Meredith Marple, What Took So Long?: A Group-Phobic, Uncomfortable Competitor's Journey to Mahjong - A Memoir Essay","ski-club, skiing, trophy, winning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"His eagerness had turned into a routine; he embraced her at the same time every day. It was a habit like any other, a favourite pudding after the monotony of dinner.","Gustave Flaubert, Madame Bovary","boredom, habit, husband, marriage, routine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"But that's what love is, isn't it? When it hurts you more to see someone suffer than it does to take the pain away?","Jodi Picoult, The Storyteller","loss, love, sorrow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It is impossible to understand addiction without asking what relief the addict finds, or hopes to find, in the drug or the addictive behaviour.","Gabor Maté, In the Realm of Hungry Ghosts: Close Encounters with Addiction","addictions, behavior, drugs, psychology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A man who tells you to follow him will turn his followers into his company, while a true leader who does not tell you to follow him, will sit in the company of his followers.","Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem","leaders, leadership, quotes, suzy-kassem, truth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Many a mess, but greater the grace of mercy.",Lailah Gifty Akita,"christian, dont-quit, grace, inspirational, mercy, mess, self-help, sinner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Also, I think I felt something come loose back there. I'm not trying to overreact or anything but I think it was my uterus. Honest. I think my uterus jiggled free. My uterus is just going to come out between my legs and I'm going to look like I'm walking around with an enormous load in my pants.","Meg Cabot, Big Boned",humor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sometimes relationships aren’t meant to be forever. We stumble upon one another to learn, to love, to appreciate and become who we’re supposed to be.",Dominic Riccitello,"appreciate, become, becoming, growing, life, love, moments, quote, relationships, unconditional-love",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you would take, you must first give, this is the beginning of intelligence.",Lao Tzu,"Beginning, You, First ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Join us. Play the game. It will bring you an untold number of rewards and you will finally have some direction and purpose in your lives. Take control of yourselves and those around you. Bend them to your will and all worldly pleasures will be yours...,"Martin  Hopkins, Cracks in the Pavement","action, addiction, crime, edinburgh, erotica, homelessness, jekyll-hyde, literary-fiction, pornography, poverty, prostitution, romance, sex, society, suspense, thriller, violence, wealth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I recognized no obstacle to miraculous change but the incredulity of others. This was an idea that died hard, if it ever really died at all.","Tobias Wolff, This Boy's Life",change-your-life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our magazine covers frequently feature the immoral, the perverted, the psychologically sick. Sin is “in.” People don’t like to be told they are sinners.","Billy Graham, Billy Graham in Quotes","billy-graham, immoral, perverted, sick, sin, sinners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The secret of Sufism is that it has no secret at all'.,"Idries Shah, Learning How to Learn: Psychology and Spirituality in the Sufi Way","evolution, knowledge, sufi, sufis, sufism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Sufi is 'One who does not care when something is taken from him, but who does not cease to seek for what he has not.","Idries Shah, Aprender a aprender","detachment, ego, evolution, learning, possession, sufis, sufism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The box had done what Sweet Home had not, what working like an ass and living like a dog had not: drove him crazy so he would not lose his mind.","Toni Morrison, Beloved","crazy, mind, slavery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"what makes me human; is my mistakes and that i resemble humanbeings...,What makes me a Man is that i am selfish,powerful,minded and stubborn",Sephiwe Mduduzi Msiza,"human, ignorance, man, powerful, selfish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Squeezing her eyes shut, hating every moment, the put a single finger in and moved it around.“There’s nothing,” she lamented.“Go deeper.”Alice did.“Deeper.”“There’s nothing,” she yelled, pulling out her hand in anger and humiliation.“Of course there is nothing,” the Hatter said. “Who ever heard of such a ridiculous thing?”“So why did you make me do it?” Alice demanded.“Because it was really hot,” he answered.","Melinda DuChamp, Fifty Shades of Alice in Wonderland","erotic, erotica, fantasy, funny, humor, men, retellings, romance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"People wish to be poets more than they wish to write poetry, and that's a mistake. One should wish to celebrate more than one wishes to be celebrated.",Lucille Clifton,"Celebrate, Mistake, People ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postpone facing a fear and it's sure to grow bigger with each passing day,"Jennifer Archer, The Shadow Girl","fear, inspirational-quotes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I often see how you sob over what you destroy, how you want to stop and just worship; and you do stop, and then a moment later you are at it again with a knife, like a surgeon. ",Anaïs Nin,"critisism, destruction, worship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Every period of human development has had its own particular type of human conflict---its own variety of problem that, apparently, could be settled only by force. And each time, frustratingly enough, force never really settled the problem. Instead, it persisted through a series of conflicts, then vanished of itself---what's the expression---ah, yes, 'not with a bang, but a whimper,' as the economic and social environment changed. And then, new problems, and a new series of wars.","Isaac Asimov, I, Robot","conflict, history",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The oblique paradox of propaganda is that the lie in the throat becomes, by repetition, the truth in the heart.",John Grierson,"Heart, Lie, Repetition ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maybe it is something to do with age, but I have become fonder of poetry than of prose.",Aung San Suu Kyi,"Age, Become, Something ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It was one thing to live in a world where death stood a distant figure, quite another to hold it in your hands.","David Wroblewski, The Story of Edgar Sawtelle",death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dream a better dream, an unselfish dream, a dream to make the world a better place, then work to make that dream a reality",Unkown Author,dream-big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Know what you do, when you do it and how you do it...You will thank me later!",Deyth Banger,"know, lataaaaaa, later, thank, thank-you, thanks, what, when, will",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
